"","crime_type","service","date","latitude","longitude","outcome_status_category","outcome_status_date","year","month","borough","census_code"
"93","bicycle-theft","Force",2016-04-01,51.5649,-0.093375,"Status update unavailable","2016-08",2016,"April","Hackney","E09000012"
"94","bicycle-theft","Force",2016-05-01,51.562083,-0.112105,"Investigation complete; no suspect identified","2016-06",2016,"May","Islington","E09000019"
"95","bicycle-theft","Force",2016-05-01,51.561794,-0.124928,"Investigation complete; no suspect identified","2016-06",2016,"May","Islington","E09000019"
"96","bicycle-theft","Force",2016-05-01,51.56872,-0.125033,"Investigation complete; no suspect identified","2016-06",2016,"May","Islington","E09000019"
"97","bicycle-theft","Force",2016-05-01,51.562122,-0.079627,"Status update unavailable","2016-09",2016,"May","Hackney","E09000012"
"98","bicycle-theft","Force",2016-05-01,51.564352,-0.103931,"Investigation complete; no suspect identified","2016-08",2016,"May","Islington","E09000019"
"99","bicycle-theft","Force",2016-05-01,51.56409,-0.101056,"Status update unavailable","2016-09",2016,"May","Hackney","E09000012"
"100","bicycle-theft","Force",2016-05-01,51.567731,-0.082247,"Status update unavailable","2016-09",2016,"May","Hackney","E09000012"
"101","bicycle-theft","Force",2016-05-01,51.565202,-0.082614,"Status update unavailable","2016-09",2016,"May","Hackney","E09000012"
"102","bicycle-theft","Force",2016-05-01,51.561179,-0.073116,"Investigation complete; no suspect identified","2016-06",2016,"May","Hackney","E09000012"
"103","bicycle-theft","Force",2016-05-01,51.565846,-0.108443,"Investigation complete; no suspect identified","2016-06",2016,"May","Islington","E09000019"
"104","bicycle-theft","Force",2016-05-01,51.5649,-0.093375,"Investigation complete; no suspect identified","2016-06",2016,"May","Hackney","E09000012"
"105","bicycle-theft","Force",2016-05-01,51.567227,-0.078921,"Offender given conditional discharge","2016-08",2016,"May","Hackney","E09000012"
"106","bicycle-theft","Force",2016-05-01,51.560065,-0.07918,"Investigation complete; no suspect identified","2016-06",2016,"May","Hackney","E09000012"
"107","bicycle-theft","Force",2016-05-01,51.566711,-0.073748,"Investigation complete; no suspect identified","2016-06",2016,"May","Hackney","E09000012"
"108","bicycle-theft","Force",2016-05-01,51.5639,-0.105436,"Status update unavailable","2016-09",2016,"May","Islington","E09000019"
"109","bicycle-theft","Force",2016-05-01,51.562397,-0.125553,"Court result unavailable","2016-12",2016,"May","Islington","E09000019"
"110","bicycle-theft","Force",2016-05-01,51.5649,-0.093375,"Investigation complete; no suspect identified","2016-11",2016,"May","Hackney","E09000012"
"111","bicycle-theft","Force",2016-05-01,51.572949,-0.072503,"Investigation complete; no suspect identified","2016-06",2016,"May","Hackney","E09000012"
"112","bicycle-theft","Force",2016-05-01,51.562374,-0.150701,"Status update unavailable","2016-09",2016,"May","Camden","E09000007"
"113","bicycle-theft","Force",2016-05-01,51.564585,-0.105566,"Status update unavailable","2016-09",2016,"May","Islington","E09000019"
"114","bicycle-theft","Force",2016-06-01,51.561338,-0.078967,"Investigation complete; no suspect identified","2016-07",2016,"June","Hackney","E09000012"
"115","bicycle-theft","Force",2016-06-01,51.561811,-0.120917,"Status update unavailable","2016-10",2016,"June","Islington","E09000019"
"116","bicycle-theft","Force",2016-06-01,51.563145,-0.107704,"Investigation complete; no suspect identified","2016-06",2016,"June","Islington","E09000019"
"117","bicycle-theft","Force",2016-06-01,51.564335,-0.132023,"Investigation complete; no suspect identified","2016-06",2016,"June","Islington","E09000019"
"118","bicycle-theft","Force",2016-06-01,51.565579,-0.090346,"Status update unavailable","2016-10",2016,"June","Hackney","E09000012"
"119","bicycle-theft","Force",2016-06-01,51.564585,-0.105566,"Investigation complete; no suspect identified","2016-06",2016,"June","Islington","E09000019"
"120","bicycle-theft","Force",2016-06-01,51.572494,-0.086968,"Status update unavailable","2016-10",2016,"June","Hackney","E09000012"
"121","bicycle-theft","Force",2016-06-01,51.567227,-0.078921,"Status update unavailable","2016-10",2016,"June","Hackney","E09000012"
"122","bicycle-theft","Force",2016-06-01,51.570549,-0.117411,"Status update unavailable","2016-10",2016,"June","Islington","E09000019"
"123","bicycle-theft","Force",2016-06-01,51.566339,-0.073519,"Investigation complete; no suspect identified","2016-07",2016,"June","Hackney","E09000012"
"124","bicycle-theft","Force",2016-06-01,51.575124,-0.072931,"Status update unavailable","2016-10",2016,"June","Hackney","E09000012"
"125","bicycle-theft","Force",2016-06-01,51.565204,-0.084417,"Investigation complete; no suspect identified","2016-07",2016,"June","Hackney","E09000012"
"126","bicycle-theft","Force",2016-06-01,51.571145,-0.074311,"Investigation complete; no suspect identified","2016-07",2016,"June","Hackney","E09000012"
"127","bicycle-theft","Force",2016-06-01,51.565204,-0.084417,"Investigation complete; no suspect identified","2016-06",2016,"June","Hackney","E09000012"
"128","bicycle-theft","Force",2016-06-01,51.571145,-0.074311,"Offender given a caution","2016-09",2016,"June","Hackney","E09000012"
"129","bicycle-theft","Force",2016-06-01,51.561607,-0.113856,"Status update unavailable","2016-10",2016,"June","Islington","E09000019"
"130","bicycle-theft","Force",2016-06-01,51.565575,-0.136503,"Investigation complete; no suspect identified","2016-06",2016,"June","Islington","E09000019"
"131","bicycle-theft","Force",2016-06-01,51.573814,-0.120234,"Status update unavailable","2016-10",2016,"June","Islington","E09000019"
"132","bicycle-theft","Force",2016-06-01,51.5649,-0.093375,"Investigation complete; no suspect identified","2016-07",2016,"June","Hackney","E09000012"
"133","bicycle-theft","Force",2016-06-01,51.562231,-0.082998,"Investigation complete; no suspect identified","2017-02",2016,"June","Hackney","E09000012"
"134","bicycle-theft","Force",2016-06-01,51.560352,-0.073642,"Investigation complete; no suspect identified","2016-07",2016,"June","Hackney","E09000012"
"135","bicycle-theft","Force",2016-06-01,51.564585,-0.105566,"Investigation complete; no suspect identified","2016-08",2016,"June","Islington","E09000019"
"136","bicycle-theft","Force",2016-06-01,51.564585,-0.105566,"Investigation complete; no suspect identified","2016-08",2016,"June","Islington","E09000019"
"137","bicycle-theft","Force",2016-06-01,51.563725,-0.080843,"Investigation complete; no suspect identified","2016-07",2016,"June","Hackney","E09000012"
"138","bicycle-theft","Force",2016-06-01,51.572494,-0.086968,"Investigation complete; no suspect identified","2016-07",2016,"June","Hackney","E09000012"
"139","bicycle-theft","Force",2016-06-01,51.562231,-0.082998,"Status update unavailable","2016-10",2016,"June","Hackney","E09000012"
"140","bicycle-theft","Force",2016-06-01,51.561799,-0.081877,"Investigation complete; no suspect identified","2016-07",2016,"June","Hackney","E09000012"
"141","bicycle-theft","Force",2016-06-01,51.567227,-0.078921,"Investigation complete; no suspect identified","2016-07",2016,"June","Hackney","E09000012"
"142","bicycle-theft","Force",2016-07-01,51.563165,-0.135332,"Status update unavailable","2016-11",2016,"July","Islington","E09000019"
"143","bicycle-theft","Force",2016-07-01,51.560476,-0.085626,"Status update unavailable","2016-11",2016,"July","Hackney","E09000012"
"144","bicycle-theft","Force",2016-07-01,51.569641,-0.075298,"Investigation complete; no suspect identified","2016-07",2016,"July","Hackney","E09000012"
"145","bicycle-theft","Force",2016-07-01,51.567355,-0.15236,"Status update unavailable","2016-11",2016,"July","Camden","E09000007"
"146","bicycle-theft","Force",2016-07-01,51.562441,-0.073265,"Investigation complete; no suspect identified","2016-10",2016,"July","Hackney","E09000012"
"147","bicycle-theft","Force",2016-07-01,51.565544,-0.149851,"Status update unavailable","2016-11",2016,"July","Camden","E09000007"
"148","bicycle-theft","Force",2016-07-01,51.562441,-0.073265,"Status update unavailable","2016-11",2016,"July","Hackney","E09000012"
"149","bicycle-theft","Force",2016-07-01,51.564335,-0.132023,"Investigation complete; no suspect identified","2016-08",2016,"July","Islington","E09000019"
"150","bicycle-theft","Force",2016-07-01,51.570647,-0.147277,"Investigation complete; no suspect identified","2016-08",2016,"July","Camden","E09000007"
"151","bicycle-theft","Force",2016-07-01,51.568137,-0.111133,"Status update unavailable","2016-11",2016,"July","Islington","E09000019"
"152","bicycle-theft","Force",2016-07-01,51.564863,-0.129044,"Status update unavailable","2016-11",2016,"July","Islington","E09000019"
"153","bicycle-theft","Force",2016-07-01,51.564585,-0.105566,"Investigation complete; no suspect identified","2016-08",2016,"July","Islington","E09000019"
"154","bicycle-theft","Force",2016-07-01,51.562426,-0.122277,"Investigation complete; no suspect identified","2016-08",2016,"July","Islington","E09000019"
"155","bicycle-theft","Force",2016-07-01,51.563939,-0.084023,"Investigation complete; no suspect identified","2016-07",2016,"July","Hackney","E09000012"
"156","bicycle-theft","Force",2016-07-01,51.562713,-0.096021,"Status update unavailable","2016-11",2016,"July","Hackney","E09000012"
"157","bicycle-theft","Force",2016-07-01,51.569124,-0.075046,"Investigation complete; no suspect identified","2016-07",2016,"July","Hackney","E09000012"
"158","bicycle-theft","Force",2016-07-01,51.565934,-0.093924,"Status update unavailable","2016-11",2016,"July","Hackney","E09000012"
"159","bicycle-theft","Force",2016-07-01,51.567227,-0.078921,"Status update unavailable","2016-11",2016,"July","Hackney","E09000012"
